Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Alan ,Cobra Kai,thumb,,2,Smart TV,2021-03-14 07:43:48,
Alan ,The Karate Kid Part III,thumb,,2,Smart TV,2021-03-09 04:07:19,
Alan ,The Karate Kid Part II,thumb,,2,Smart TV,2021-03-09 02:07:36,
Alan ,The Karate Kid,thumb,,2,Smart TV,2021-03-07 07:24:58,
Alan ,Sepultura Endurance,thumb,,2,Smart TV,2021-02-22 01:12:33,
Alan ,Animals on the Loose: A You vs. Wild Movie,thumb,,2,Android Phone,2021-02-18 01:23:03,
Alan ,Tony Parker: The Final Shot,thumb,,2,Android Phone,2021-02-11 01:42:16,
Alan ,The Last Paradiso,thumb,,2,Smart TV,2021-02-06 09:16:32,
Alan ,Step Up,thumb,,2,Smart TV,2021-01-16 03:53:15,
Alan ,The First Purge,thumb,,2,Android Phone,2021-01-10 20:01:13,
Alan ,Uncut Gems,thumb,,2,Android Phone,2021-01-02 01:30:01,
Alan ,300,thumb,,2,Android Phone,2020-12-30 02:04:16,
Alan ,300: Rise of an Empire,thumb,,2,Android Phone,2020-12-30 02:04:07,
Alan ,Challenger,thumb,,2,Smart TV,2020-11-29 17:54:57,
Alan ,Rocky IV,thumb,,2,Smart TV,2020-11-26 03:31:44,
Alan ,The Matrix Revolutions,thumb,,2,Smart TV,2020-11-23 00:14:07,
Alan ,High Score,thumb,,2,Smart TV,2020-11-18 01:47:28,
Alan ,The Matrix Reloaded,thumb,,2,Smart TV,2020-11-12 02:09:22,
Alan ,The Matrix,thumb,,2,Smart TV,2020-11-09 02:20:05,
Alan ,Rocky III,thumb,,2,Smart TV,2020-11-08 01:26:18,
Alan ,Rocky II,thumb,,2,Android Phone,2020-11-06 02:10:24,
Alan ,Rocky,thumb,,2,Smart TV,2020-11-04 04:38:41,
Alan ,Annabelle: Creation,thumb,,2,Smart TV,2020-10-12 23:27:05,
Alan ,Enola Holmes,thumb,,2,Smart TV,2020-10-11 01:54:02,
Alan ,Akame ga Kill!,thumb,,2,Smart TV,2020-10-08 02:57:48,
Alan ,Chef's Table: BBQ,thumb,,2,Smart TV,2020-09-21 01:45:37,
Alan ,KENGAN ASHURA,thumb,,2,Smart TV,2020-09-11 04:42:18,
Alan ,DEATH NOTE,thumb,,2,Smart TV,2020-09-05 04:55:14,
Alan ,American Sniper,thumb,,2,Android Phone,2020-08-31 02:25:01,
Alan ,Clarence,thumb,,2,Android Phone,2020-08-31 02:24:08,
Alan ,Mystery Lab,thumb,,2,Smart TV,2020-08-19 02:35:05,
Alan ,Breaking Bad,thumb,,2,Smart TV,2020-08-12 03:05:08,
Alan ,El Camino: A Breaking Bad Movie,thumb,,2,Smart TV,2020-08-12 03:04:41,
Alan ,Shooter,thumb,,2,Smart TV,2020-07-22 02:11:21,
Alan ,Brooklyn Nine-Nine,thumb,,2,Smart TV,2020-07-22 02:09:00,
Alan ,The Pursuit of Happyness,thumb,,2,Smart TV,2020-07-20 04:19:16,
Alan ,Space Jam,thumb,,2,Smart TV,2020-07-09 18:15:54,
Alan ,Hancock,thumb,,2,Smart TV,2020-06-09 06:28:30,
Alan ,Saving Private Ryan,thumb,,2,Android Phone,2020-06-03 19:04:26,
Alan ,Locke & Key,thumb,,2,Smart TV,2020-06-03 03:33:34,
Alan ,Shutter Island,thumb,,2,Android Phone,2020-05-30 23:33:24,
Alan ,The Fast and the Furious,thumb,,2,Android Phone,2020-05-30 23:32:40,
Alan ,Blindspot,thumb,,2,Android Phone,2020-05-30 23:32:24,
Alan ,Gladiator,thumb,,2,Android Phone,2020-05-30 23:32:08,
Alan ,Going in Style,thumb,,2,Smart TV,2020-05-28 22:36:31,
Alan ,The Walking Dead,thumb,,2,Android Phone,2020-05-28 06:40:45,
Alan ,The Last Dance,thumb,,2,Smart TV,2020-05-19 02:39:47,
Alan ,The Haunting of Hill House,thumb,,2,Smart TV,2020-05-16 04:04:55,
Alan ,Freud,thumb,,2,Smart TV,2020-05-07 05:12:20,
Alan ,Dark,thumb,,2,Smart TV,2020-05-03 17:14:24,
Alan ,Batman v Superman: Dawn of Justice,thumb,,2,Smart TV,2020-05-02 07:16:30,
Alan ,Too Hot to Handle,thumb,,2,Smart TV,2020-04-25 06:37:13,
Alan ,Miracle in Cell No. 7,thumb,,2,Smart TV,2020-04-17 06:09:43,
Alan ,Resident Evil: Vendetta,thumb,,1,Smart TV,2020-04-08 22:02:05,
Alan ,Terminator Genisys,thumb,,2,Smart TV,2020-04-02 04:07:10,
Alan ,Sniper: Ultimate Kill,thumb,,2,Smart TV,2020-04-02 04:06:45,
Alan ,The Irishman,thumb,,2,HTML 5,2020-03-25 02:48:59,
Alan ,Outbreak,thumb,,2,Smart TV,2020-03-25 01:36:41,
Alan ,Jarhead,thumb,,2,Smart TV,2020-02-25 19:04:54,
Alan ,Gotham,thumb,,2,Smart TV,2020-01-21 03:08:06,
Alan ,Transformers: Age of Extinction,thumb,,2,Smart TV,2020-01-20 22:17:00,
Alan ,The Purge: Election Year,thumb,,2,Smart TV,2020-01-19 19:06:52,
Alan ,Battle: Los Angeles,thumb,,2,Smart TV,2020-01-19 17:22:26,
Alan ,Man of Steel,thumb,,2,Smart TV,2020-01-19 04:03:12,
Alan ,Paul,thumb,,2,Smart TV,2020-01-18 23:02:08,
Alan ,Saturday Night Fever,thumb,,2,Smart TV,2020-01-16 01:56:56,
Alan ,Get Out,thumb,,2,Smart TV,2020-01-15 03:19:23,
Alan ,The Witcher,thumb,,2,Smart TV,2020-01-15 00:23:45,
Alan ,6 Underground,thumb,,2,Smart TV,2019-12-22 22:20:04,
Alan ,Transformers: The Last Knight,thumb,,2,Smart TV,2019-12-22 20:05:55,
Alan ,The Last Hangover,thumb,,2,Smart TV,2019-12-22 01:09:21,
Alan ,V Wars,thumb,,2,Smart TV,2019-12-21 01:30:11,
Alan ,World War II in Colour,thumb,,2,Android Phone,2019-12-16 23:53:11,
Alan ,Marianne,thumb,,2,Smart TV,2019-12-15 22:28:13,
Alan ,Greatest Events of WWII in Colour,thumb,,2,Smart TV,2019-12-02 19:17:37,
Alan ,The Conjuring,thumb,,2,Smart TV,2019-11-17 23:37:20,
Alan ,Don't Breathe,thumb,,1,Smart TV,2019-11-17 17:58:47,
Alan ,Leatherface: The Texas Chainsaw Massacre III,thumb,,2,Smart TV,2019-11-17 04:12:23,
Alan ,The Fate of the Furious,thumb,,2,Smart TV,2019-11-16 20:00:30,
Alan ,Kardec,thumb,,2,Android Phone,2019-10-30 03:06:51,
Alan ,Split,thumb,,2,Android Phone,2019-10-30 03:06:37,
Alan ,The Accountant,thumb,,2,Smart TV,2019-10-14 02:29:03,
Alan ,Elena,thumb,,2,Smart TV,2019-10-06 04:00:47,
Alan ,The Edge of Democracy,thumb,,2,Android Phone,2019-09-15 17:59:24,
Alan ,Hyperdrive,thumb,,2,Smart TV,2019-08-25 22:48:45,
Alan ,The Purge,thumb,,2,Smart TV,2019-08-19 02:28:04,
Alan ,Sextuplets,thumb,,2,Smart TV,2019-08-18 20:41:17,
Alan ,The Witch: Part 1 - The Subversion,thumb,,1,Smart TV,2019-08-11 20:07:53,
Alan ,A Nightmare on Elm Street 4: The Dream Master,thumb,,2,Smart TV,2019-08-11 03:52:25,
Alan ,Coach Carter,thumb,,2,Android Phone,2019-08-07 10:12:35,
Alan ,Guerras do Brasil.doc,thumb,,2,Smart TV,2019-08-07 01:01:13,
Alan ,John Wick,thumb,,2,Smart TV,2019-08-05 02:46:30,
Alan ,A Nightmare on Elm Street 3: Dream Warriors,thumb,,2,Smart TV,2019-08-05 02:45:59,
Alan ,Point Blank,thumb,,2,Smart TV,2019-07-28 17:21:49,
Alan ,Unsolved,thumb,,2,Smart TV,2019-07-28 01:42:31,
Alan ,​SAINT SEIYA: Knights of the Zodiac,thumb,,2,Smart TV,2019-07-23 00:00:48,
Alan ,The Mechanism,thumb,,2,Smart TV,2019-07-19 02:42:58,
Alan ,Beats,thumb,,2,Smart TV,2019-07-19 02:41:36,
Alan ,Cobra,thumb,,2,Smart TV,2019-07-18 23:33:24,
Alan ,"Oh, Ramona!",thumb,,2,Smart TV,2019-07-17 02:24:16,
Alan ,When They See Us,thumb,,2,Smart TV,2019-07-15 02:37:58,
Alan ,Murder Mystery,thumb,,1,Android Phone,2019-06-22 04:14:58,
Alan ,The Society,thumb,,2,Smart TV,2019-06-09 04:43:28,
Alan ,Quicksand,thumb,,1,Smart TV,2019-05-14 02:41:31,
Alan ,The Silence,thumb,,2,Smart TV,2019-05-13 01:58:23,
Alan ,The Wandering Earth,thumb,,1,Smart TV,2019-05-12 05:11:27,
Alan ,Your Son,thumb,,2,Smart TV,2019-05-06 02:45:55,
Alan ,The Green Mile,thumb,,2,Smart TV,2019-05-05 01:07:36,
Alan ,Fast & Furious 6,thumb,,2,Smart TV,2019-04-06 21:21:17,
Alan ,Fast Five,thumb,,2,Smart TV,2019-03-31 20:43:26,
Alan ,Transformers: Revenge of the Fallen,thumb,,2,Smart TV,2019-03-25 02:54:28,
Alan ,Fast & Furious,thumb,,2,Smart TV,2019-03-25 02:52:29,
Alan ,The Dirt,thumb,,2,Smart TV,2019-03-23 18:59:31,
Alan ,The Fast and the Furious: Tokyo Drift,thumb,,2,Smart TV,2019-03-17 04:29:52,
Alan ,Transformers: Dark of the Moon,thumb,,2,Smart TV,2019-03-16 18:15:10,
Alan ,2 Fast 2 Furious,thumb,,2,Smart TV,2019-03-10 16:54:16,
Alan ,The Mask,thumb,,2,Android Phone,2019-02-07 15:06:00,
Alan ,Chef,thumb,,2,Smart TV,2019-02-04 02:11:03,
Alan ,Constantine,thumb,,2,Smart TV,2019-02-03 22:44:39,
Alan ,Skins,thumb,,2,Smart TV,2019-01-21 02:05:46,
Alan ,IO,thumb,,1,Smart TV,2019-01-20 03:33:44,
Alan ,Sherlock,thumb,,2,Smart TV,2019-01-13 03:54:05,
Alan ,Black Mirror: Bandersnatch,thumb,,2,Android Phone,2019-01-04 02:14:38,
Alan ,Bird Box,thumb,,2,Smart TV,2019-01-01 21:53:26,
Alan ,Saw,thumb,,2,Smart TV,2018-12-16 15:59:33,
Alan ,GHOUL,thumb,,1,Smart TV,2018-09-02 03:20:06,
Alan ,The Witch,thumb,,2,Smart TV,2018-08-27 02:47:19,
Alan ,Immortals,thumb,,2,Smart TV,2018-08-27 02:47:03,
Alan ,13 Hours: The Secret Soldiers of Benghazi,thumb,,2,Android Phone,2018-08-01 01:08:59,
Alan ,TAU,thumb,,2,Smart TV,2018-07-05 19:43:01,
Alan ,Safe,thumb,,2,Android Phone,2018-06-27 01:39:43,
Alan ,I Am Not an Easy Man,thumb,,2,Smart TV,2018-06-25 17:02:12,
Alan ,The Rain,thumb,,2,Smart TV,2018-06-12 12:15:40,
Alan ,Avengers: Age of Ultron,thumb,,2,Smart TV,2018-06-04 16:42:02,
Alan ,The Godfather: Part III,thumb,,2,Smart TV,2018-06-02 08:57:27,
Alan ,The Chalet,thumb,,2,Smart TV,2018-05-28 17:14:01,
Alan ,Day of the Dead: Bloodline,thumb,,1,Smart TV,2018-04-21 20:41:42,
Alan ,Irreplaceable You,thumb,,2,Android Phone,2018-04-19 13:25:57,
Alan ,Grown Ups 2,thumb,,2,Android Phone,2018-04-12 13:30:23,
Alan ,Hush,thumb,,2,Smart TV,2018-04-12 02:15:46,
Alan ,The Titan,thumb,,2,Android Phone,2018-04-03 01:43:07,
Alan ,Grown Ups,thumb,,2,Smart TV,2018-04-01 03:31:20,
Alan ,The Cabin in the Woods,thumb,,2,Smart TV,2018-03-30 17:36:36,
Alan ,Annihilation,thumb,,2,Smart TV,2018-03-30 16:04:11,
Alan ,Straight Outta Compton,thumb,,2,Android Phone,2018-03-30 03:07:26,
Alan ,Room,thumb,,2,Smart TV,2018-03-25 22:27:52,
Alan ,Big Mouth,thumb,,2,Smart TV,2018-03-18 19:24:21,
Alan ,The Godfather,thumb,,2,Android Phone,2018-03-12 17:06:34,
Alan ,Inglourious Basterds,thumb,,2,Smart TV,2018-03-12 02:29:13,
Alan ,Damnation,thumb,,2,Smart TV,2018-03-11 20:29:04,
Alan ,The Breakfast Club,thumb,,2,Smart TV,2018-03-06 00:43:56,
Alan ,Fury,thumb,,2,Android Phone,2018-03-05 01:44:18,
Alan ,Moonlight,thumb,,2,Smart TV,2018-03-05 01:30:36,
Alan ,Life Is Beautiful,thumb,,2,Smart TV,2018-03-04 22:53:18,
Alan ,The Lovely Bones,thumb,,2,Smart TV,2018-03-03 22:56:14,
Alan ,Scarface,thumb,,2,Smart TV,2018-03-02 02:23:48,
Alan ,Everything Sucks!,thumb,,2,Smart TV,2018-03-01 21:36:49,
Alan ,Mute,thumb,,2,Smart TV,2018-03-01 03:11:46,
Alan ,Chewing Gum,thumb,,2,Android Phone,2018-02-20 00:41:35,
Alan ,The Cloverfield Paradox,thumb,,1,Android Phone,2018-02-12 17:58:31,
Alan ,Pulp Fiction,thumb,,2,Smart TV,2018-02-07 23:51:45,
Alan ,The 100,thumb,,2,Android Phone,2018-02-01 21:23:59,
Alan ,"House, M.D.",thumb,,2,Android Phone,2018-02-01 01:49:33,
Alan ,Reservoir Dogs,thumb,,2,Smart TV,2018-02-01 01:04:49,
Alan ,The Age of Adaline,thumb,,2,Smart TV,2018-01-31 02:03:41,
Alan ,The Help,thumb,,2,Smart TV,2018-01-29 01:03:51,
Alan ,Pride & Prejudice,thumb,,2,Android Phone,2018-01-24 23:28:08,
Alan ,Spirit: Stallion of the Cimarron,thumb,,2,Smart TV,2018-01-23 01:00:29,
Alan ,Lion,thumb,,2,Smart TV,2018-01-22 23:41:39,
Alan ,The OA,thumb,,2,Android Phone,2018-01-20 22:21:19,
Alan ,You Get Me,thumb,,2,Smart TV,2018-01-18 01:45:50,
Alan ,Beasts of No Nation,thumb,,2,Smart TV,2018-01-17 23:39:52,
Alan ,One-Punch Man,thumb,,2,Smart TV,2018-01-17 01:38:02,
Alan ,Message from the King,thumb,,2,Smart TV,2018-01-15 22:59:39,
Alan ,Hacksaw Ridge,thumb,,2,Smart TV,2018-01-14 20:04:32,
Alan ,The End of the F***ing World,thumb,,2,Android Phone,2018-01-12 23:28:22,
Alan ,Okja,thumb,,2,Smart TV,2018-01-12 01:45:53,
Alan ,Yu-Gi-Oh!,thumb,,2,Android Phone,2018-01-11 02:10:35,
Alan ,The Do-Over,thumb,,2,Smart TV,2018-01-11 01:36:00,
Alan ,Black Mirror,thumb,,2,Smart TV,2018-01-06 20:54:19,
Alan ,1922,thumb,,2,Smart TV,2017-12-25 22:10:27,
Alan ,The Exorcism of Anna Ecklund,thumb,,1,Smart TV,2017-12-24 19:58:14,
Alan ,Bright,thumb,,2,Smart TV,2017-12-24 18:41:45,
Alan ,The Possession,thumb,,2,Smart TV,2017-12-01 14:29:20,
Alan ,The Babadook,thumb,,2,Smart TV,2017-11-26 17:25:06,
Alan ,What Happened to Monday,thumb,,2,Smart TV,2017-11-22 02:29:59,
Alan ,MINDHUNTER,thumb,,2,Smart TV,2017-11-18 23:27:56,
Alan ,Castlevania,thumb,,2,Android Phone,2017-11-10 15:57:07,
Alan ,Stranger Things,thumb,,2,Android Phone,2017-10-31 15:52:10,
Alan ,Marvel's Agents of S.H.I.E.L.D.,thumb,,1,HTML 5,2017-10-29 23:53:46,
Alan ,Rick and Morty,thumb,,2,Smart TV,2017-10-16 04:07:26,
Alan ,Brain Games,thumb,,2,Smart TV,2017-10-16 04:07:06,
Alan ,Street Fighter II: V,thumb,,2,Smart TV,2017-10-13 01:41:37,
Alan ,Jackass: Number Two,thumb,,1,Smart TV,2017-10-13 01:04:08,
Alan ,Texas Chainsaw,thumb,,2,Smart TV,2017-09-26 03:31:06,
Alan ,Spartacus,star,5,2,Android,2017-09-11 19:35:48,2017-08-27
Alan ,FINAL FANTASY XIV Dad of Light,thumb,,2,Smart TV,2017-09-06 02:28:58,
Alan ,Brick Mansions,thumb,,2,Smart TV,2017-09-05 03:11:22,
Alan ,Furious 7,thumb,,2,Smart TV,2017-09-04 03:30:28,
Alan ,Netflix Ao Vivo,star,0,0,HTML 5,2017-09-03 21:49:18,2017-03-31
Alan ,Netflix Ao Vivo Cancelado,star,0,0,HTML 5,2017-09-03 21:49:16,2017-04-01
Alan ,Shooter,thumb,,2,Smart TV,2017-08-10 04:07:08,
Alan ,The Last Kingdom,thumb,,1,Smart TV,2017-08-03 03:02:38,
Alan ,Hachi: A Dog's Tale,star,5,2,Android,2017-07-12 02:15:02,2017-07-11
Alan ,Castlevania,star,5,2,Android,2017-07-09 02:25:58,2017-07-08
Alan ,Narcos,thumb,,2,Smart TV,2017-06-06 03:02:24,
Alan ,Batman,thumb,,2,Smart TV,2017-04-09 06:19:22,
Alan ,Supernatural,thumb,,2,Smart TV,2017-04-06 03:17:49,
Alan ,13 Reasons Why,thumb,,2,Smart TV,2017-04-06 02:24:49,
Alan ,13 Reasons Why,star,5,2,Smart TV,2017-04-03 02:13:17,2017-04-02
Ale ,Pirates of the Caribbean: The Curse of the Black Pearl,thumb,,2,HTML 5,2019-08-21 05:25:05,
Ale ,Slow West,thumb,,1,HTML 5,2019-08-21 03:07:00,
Ale ,The 40-Year-Old Virgin,thumb,,2,HTML 5,2019-08-19 03:59:45,
Ale ,Black Mirror: Bandersnatch,thumb,,2,HTML 5,2019-02-09 15:36:52,
Ale ,Death Note,thumb,,1,HTML 5,2019-02-01 03:13:54,
Ale ,GANTZ:O,thumb,,1,HTML 5,2018-11-03 00:15:54,
Casa,Intrusion,thumb,,2,Smart TV,2021-10-01 05:18:48,
Casa,Words Bubble Up Like Soda Pop,thumb,,2,Smart TV,2021-07-26 04:25:34,
Casa,Bumblebee,thumb,,2,Smart TV,2021-06-21 20:22:18,
Casa,Suburra: Blood on Rome,thumb,,2,Smart TV,2021-05-21 09:53:51,
Casa,The Walking Dead,thumb,,2,Smart TV,2021-04-22 01:45:35,
Casa,50M2,thumb,,2,Smart TV,2021-02-25 05:31:12,
Casa,The Platform,thumb,,2,Smart TV,2021-01-08 05:09:01,
Casa,Hands of Stone,thumb,,2,Smart TV,2020-03-20 00:01:41,
Casa,Sex Education,thumb,,2,Smart TV,2019-03-17 02:02:13,
Casa,Shooter,thumb,,2,Smart TV,2018-06-28 05:07:40,
Adilan,8 Mile,thumb,,3,Smart TV,2022-12-07 00:32:36,
Adilan,Brotherhood,thumb,,3,Smart TV,2022-11-22 01:50:52,
Adilan,Ragnarok,thumb,,3,Smart TV,2022-11-22 01:50:32,
Adilan,Daybreak,thumb,,3,Smart TV,2022-11-22 01:50:10,
Adilan,Resident Evil,thumb,,3,Smart TV,2022-11-22 01:49:51,
Adilan,Squid Game,thumb,,3,Smart TV,2022-11-22 01:49:33,
Adilan,The Pursuit of Happyness,thumb,,3,Smart TV,2022-11-22 01:47:23,
Adilan,The Mist,thumb,,3,Smart TV,2022-11-22 01:32:37,
Adilan,The Karate Kid,thumb,,3,Smart TV,2022-11-20 20:35:58,
Adilan,Click,thumb,,3,Smart TV,2022-10-28 04:00:39,
Adilan,The Witcher,thumb,,3,Smart TV,2022-05-10 14:10:08,
Adilan,Metal Lords,thumb,,3,Smart TV,2022-04-12 13:11:15,
Adilan,Bumblebee,thumb,,2,Smart TV,2021-06-21 20:23:32,
Adilan,Cobra Kai,thumb,,2,Android Phone,2021-01-19 22:35:12,
Adilan,All Day and a Night,thumb,,2,Android Phone,2021-01-19 22:35:11,
Adilan,Lupin,thumb,,2,Android Phone,2021-01-19 22:35:09,
Adilan,Peaky Blinders,thumb,,2,Android Phone,2021-01-19 22:35:08,
Adilan,Outside the Wire,thumb,,2,Android Phone,2021-01-19 22:35:07,
Adilan,First Match,thumb,,2,Smart TV,2020-11-25 00:46:09,
Ju,Old People,thumb,,2,Smart TV,2022-11-05 16:17:44,
Ju,The Mitchells vs. The Machines,thumb,,0,Smart TV,2021-05-19 19:35:46,
Ju,Felipe Neto: My Life Makes No Sense,star,5,2,Smart TV,2019-01-31 19:54:36,
Ju,Bird Box,star,5,2,Smart TV,2019-01-31 19:32:29,2019-01-31
