Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.41.34,Paraná,2022-10-26T23:19:20.442Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:3223:24df:92c4:ff2:7294,Paraná,2022-10-25T22:06:06.959Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.102,Paraná,2022-10-25T12:30:55.763Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.212,Paraná,2022-10-25T11:20:32.166Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:3223:89e4:110e:6296:4159,Paraná,2022-10-25T03:48:04.212Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:3223:d74:81b4:57fd:f4a5,Paraná,2022-10-25T01:47:01.156Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:3223:89e4:110e:6296:4159,Paraná,2022-10-24T04:11:17.866Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.16.77.142,Paraná,2022-10-24T02:05:13.776Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:3223:6805:feaa:a2c4:71d2,Paraná,2022-10-24T01:52:08.935Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:3223:65a8:2bf2:46bf:ab83,Paraná,2022-10-23T18:33:26.281Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,143.208.41.34,Paraná,2022-10-23T15:40:50.590Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.212,Paraná,2022-10-22T17:58:28.948Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:3223:65a8:2bf2:46bf:ab83,Paraná,2022-10-22T16:38:52.758Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:214:8492:6e91:359f:141c:1e23:2972,Paraná,2022-10-22T13:32:33.319Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.152,Paraná,2022-10-22T10:58:51.924Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:214:8492:6e91:359f:141c:1e23:2972,Paraná,2022-10-22T04:52:26.253Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:10d:65a8:2bf2:46bf:ab83,Paraná,2022-10-21T22:02:41.805Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:10d:65a8:2bf2:46bf:ab83,Paraná,2022-10-21T15:25:39.727Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:65a8:2bf2:46bf:ab83,São Paulo,2022-10-21T04:17:33.944Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,186.227.107.110,Paraná,2022-10-21T02:12:14.973Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,186.227.107.110,Paraná,2022-10-20T17:52:40.449Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:ace6:7271:d341:d91b,São Paulo,2022-10-20T13:24:04.082Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:e1fc:b662:b2c3:76c4,São Paulo,2022-10-20T04:00:55.827Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.132.36.206,Paraná,2022-10-20T02:48:44.085Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:e03b:209d:19a9:8432:e259,São Paulo,2022-10-20T01:58:09.945Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,186.251.149.107,Paraná,2022-10-20T01:37:37.528Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:e1fc:b662:b2c3:76c4,São Paulo,2022-10-19T02:50:39.351Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:2d9e:716a:5f7b:80a7,São Paulo,2022-10-18T20:25:40.687Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:45eb:171a:2884:3c00,São Paulo,2022-10-18T10:32:45.573Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,186.251.149.107,Paraná,2022-10-18T00:26:50.339Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:45eb:171a:2884:3c00,São Paulo,2022-10-17T15:30:02.352Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:d840:6835:23fe:2dc9,São Paulo,2022-10-17T04:25:55.648Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:2932:683e:1f3c:4265,São Paulo,2022-10-16T16:10:11.458Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,186.251.149.107,Paraná,2022-10-15T01:27:49.135Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:e03b:2932:683e:1f3c:4265,São Paulo,2022-10-13T13:02:32.052Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.132.36.206,Paraná,2022-10-13T04:00:09.618Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:2932:683e:1f3c:4265,São Paulo,2022-10-13T03:18:44.039Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.152,Paraná,2022-10-12T00:01:07.128Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:2932:683e:1f3c:4265,São Paulo,2022-10-11T22:47:48.028Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.204.207.119,Paraná,2022-10-11T21:49:37.406Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:2932:683e:1f3c:4265,São Paulo,2022-10-11T21:13:13.798Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:71f0:49a1:6651:373a,São Paulo,2022-10-11T03:56:12.431Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.29,Paraná,2022-10-10T22:07:41.628Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,186.251.149.107,Paraná,2022-10-10T20:56:48.698Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,186.251.149.107,Paraná,2022-10-09T21:30:46.492Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:71f0:49a1:6651:373a,São Paulo,2022-10-07T20:24:54.813Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.204.207.119,Paraná,2022-10-07T18:20:57.450Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:71f0:49a1:6651:373a,São Paulo,2022-10-07T17:58:05.097Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:f6f5:71f0:49a1:6651:373a,São Paulo,2022-10-06T14:07:10.234Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:9349:71f0:49a1:6651:373a,São Paulo,2022-10-06T05:02:14.560Z
SSTV-KS20-0000000000000014265189,BR,Samsung CE 2020 Kant-S2 DTV Smart TV,Samsung CE 2020 Kant-S2 DTV Smart TV,143.208.42.102,Paraná,2022-10-05T23:22:27.944Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:9349:71f0:49a1:6651:373a,São Paulo,2022-10-05T04:19:44.094Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.42.102,Paraná,2022-10-05T02:44:12.904Z
NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,143.208.42.102,Paraná,2022-10-05T02:37:27.736Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.29,Paraná,2022-10-04T22:22:07.352Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.42.102,Paraná,2022-10-04T20:53:55.549Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:9349:e91d:7961:3270:e908,São Paulo,2022-10-04T14:40:57.817Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.79,Paraná,2022-10-03T20:12:23.124Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:9349:e91d:7961:3270:e908,São Paulo,2022-10-03T19:36:43.736Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.79,Paraná,2022-10-03T13:08:51.423Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:541e:e91d:7961:3270:e908,Paraná,2022-10-03T05:37:14.242Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:541e:c119:7f4c:2b34:9206,Paraná,2022-10-03T02:44:01.526Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.245.1,Paraná,2022-10-02T22:53:21.514Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:541e:566:28e7:f7eb:ea74,Paraná,2022-10-02T18:59:55.358Z
